lat lon 18O H/D
-77.74555 161.86800 -40.79 -330.20
-77.74558 161.86647 -42.08 -342.70
-77.74564 161.86549 -43.28 -348.60
-77.74567 161.86468 -41.07 -330.50
-77.74572 161.86379 -41.42 -327.30
-77.74577 161.86299 -42.46 -344.10
-77.74580 161.86211 -41.25 -333.70
-77.74587 161.86127 -40.92 -327.20
-77.74591 161.86043 -40.45 -325.10
-77.74595 161.85958 -41.31 -333.60
-77.74600 161.85877 -41.98 -339.00
-77.74606 161.85763 -42.11 -340.10
-77.74607 161.85714 -41.54 -332.60
-77.74613 161.85620 -43.22 -347.70
-77.74618 161.85535 -41.01 -329.80
-77.74623 161.85449 -40.53 -326.80
-77.74630 161.85368 -40.58 -328.60
-77.74635 161.85287 -39.33 -314.90
-77.74642 161.85206 -40.10 -324.40
-77.74645 161.85122 -39.70 -321.80
-77.74651 161.85033 -40.88 -330.60
-77.74655 161.84957 -41.00 -328.50
-77.74658 161.84882 -40.96 -324.30
-77.74663 161.84791 -40.23 -322.30
-77.74672 161.84702 -40.99 -328.90
-77.74675 161.84620 -42.26 -338.00
-77.74681 161.84535 -41.94 -339.80
-77.74682 161.84456 -41.03 -328.50
-77.74690 161.84368 -40.34 -327.70
-77.74693 161.84292 -41.75 -338.60
-77.74698 161.84204 -41.54 -336.10
-77.74703 161.84125 -42.24 -337.80
-77.74708 161.84043 -41.48 -337.80
-77.74713 161.83854 -42.19 -342.10
-77.74717 161.83867 -43.22 -347.20
-77.74722 161.83782 -41.87 -340.30
-77.74725 161.83710 -42.95 -349.60
-77.74729 161.83626 -42.77 -343.70
-77.74734 161.83546 -42.16 -339.80
-77.74740 161.83458 -42.08 -337.00
-77.74745 161.83366 -41.74 -336.70
-77.74747 161.83307 -43.08 -347.10
-77.74752 161.83223 -41.92 -337.30
-77.74757 161.83134 -41.13 -332.80
-77.74761 161.83066 -41.42 -334.80
-77.74767 161.82972 -42.16 -337.00
-77.74773 161.82889 -40.88 -331.60
-77.74776 161.82808 -43.48 -356.60
-77.74782 161.82727 -42.85 -348.50
-77.74786 161.82639 -42.71 -345.90
-77.74792 161.82560 -44.09 -358.10
-77.74797 161.82477 -42.29 -334.80
-77.74801 161.82397 -43.06 -347.80
-77.74806 161.82308 -44.29 -355.60
-77.74810 161.82222 -43.81 -355.80
-77.74815 161.82139 -43.92 -359.30
-77.74817 161.82056 -44.64 -361.10
-77.74823 161.81972 -43.04 -347.70
-77.74828 161.81887 -43.04 -350.50
-77.74833 161.81809 -43.15 -348.60
-77.74837 161.81724 -44.53 -359.90
-77.74843 161.81636 -42.79 -346.30
-77.74848 161.81554 -42.74 -348.20
-77.74852 161.81473 -44.33 -359.20
-77.74858 161.81385 -41.84 -338.70
-77.74861 161.81289 -43.48 -355.20
-77.74867 161.81217 -43.96 -352.70
-77.74871 161.81134 -45.43 -367.10
-77.74875 161.81052 -45.56 -366.80
-77.74880 161.80971 -45.29 -362.10
-77.74884 161.80887 -44.46 -359.50
-77.74891 161.80799 -42.32 -342.40
-77.74896 161.80722 -44.62 -361.00
-77.74901 161.80637 -43.36 -346.30
-77.74907 161.80557 -44.35 -354.30
-77.74911 161.80472 -44.34 -359.70
-77.74918 161.80391 -43.13 -348.40
-77.74923 161.80312 -42.82 -348.10
-77.74926 161.80222 -44.48 -361.90
-77.74932 161.80141 -44.65 -361.10
-77.74937 161.80060 -44.32 -357.20
-77.74942 161.79974 -44.26 -358.80
-77.74946 161.79891 -44.41 -360.80
-77.74949 161.79215 -44.25 -359.20
-77.74949 161.79805 -44.74 -363.60
-77.74953 161.79722 -43.45 -352.60
-77.74957 161.79633 -43.55 -352.50
-77.74961 161.79545 -44.27 -357.80
-77.74963 161.79466 -43.65 -348.80
-77.74968 161.79379 -46.47 -373.20
-77.74974 161.79297 -42.41 -343.90
-77.74983 161.79137 -44.89 -365.50
-77.74992 161.79052 -45.06 -363.80
-77.74999 161.78970 -45.32 -368.40
-77.75005 161.78891 -43.15 -348.60
-77.75013 161.78810 -41.62 -338.30
-77.75017 161.78645 -43.35 -351.10
-77.75017 161.78725 -42.96 -348.20
-77.75023 161.78559 -44.85 -363.10
-77.75029 161.78478 -41.25 -331.90
-77.75037 161.78408 -43.59 -352.60
-77.75042 161.78308 -45.02 -359.70
-77.75047 161.78227 -43.18 -347.10
-77.75054 161.78148 -42.68 -369.30
-77.75059 161.78066 -45.79 -373.80
-77.75065 161.77987 -44.20 -359.20
-77.75074 161.77907 -43.28 -351.50
-77.75080 161.77827 -44.05 -355.50
-77.75087 161.77753 -43.13 -348.90
-77.75094 161.77683 -41.78 -337.70
-77.75102 161.77600 -44.56 -351.50
-77.75110 161.77531 -43.11 -344.00
-77.75118 161.77452 -43.60 -353.70
-77.75128 161.77375 -39.84 -323.40
-77.75138 161.77297 -43.58 -352.10
-77.75145 161.77224 -43.64 -349.40
-77.75157 161.77153 -44.50 -366.00
-77.75165 161.77070 -43.03 -348.00
-77.75170 161.77013 -41.71 -338.00
-77.75184 161.76937 -42.99 -348.90
-77.75193 161.76854 -43.64 -352.40
-77.75199 161.76776 -43.56 -352.80
-77.75209 161.76701 -42.47 -348.70
-77.75225 161.76544 -43.91 -353.90
-77.75225 161.76593 -43.48 -351.10
-77.75236 161.76464 -43.43 -349.50
-77.75252 161.76317 -44.14 -358.20
-77.75253 161.76480 -43.38 -349.70
-77.75263 161.76247 -42.82 -344.90
-77.75271 161.76172 -42.85 -329.00
-77.75273 161.76092 -42.56 -346.40
-77.75276 161.76090 -42.36 -346.70
-77.75297 161.75940 -43.20 -349.80
-77.75303 161.75883 -43.00 -348.70
-77.75312 161.75801 -44.05 -353.70
-77.75322 161.75723 -40.85 -329.30
-77.75333 161.75641 -42.84 -348.00
-77.75343 161.75577 -46.58 -376.50
-77.75352 161.75514 -45.57 -361.80
-77.75364 161.75425 -43.58 -354.80
-77.75375 161.75359 -42.58 -344.20
-77.75387 161.75289 -43.85 -352.40
-77.75396 161.75212 -44.48 -362.30
-77.75406 161.75147 -42.26 -332.40
-77.75417 161.75074 -43.22 -348.90
-77.75428 161.75007 -43.89 -351.60
-77.75439 161.74930 -40.74 -341.40
-77.75451 161.74870 -44.14 -354.10
-77.75463 161.74803 -40.89 -322.00
-77.75474 161.74739 -42.40 -347.50
-77.75483 161.74659 -43.13 -342.50
-77.75494 161.74589 -43.23 -343.60
-77.75506 161.74524 -41.59 -335.40
-77.75518 161.74449 -40.80 -328.50
-77.75528 161.74384 -40.98 -331.50
-77.75540 161.74314 -40.43 -325.00
-77.75551 161.74241 -41.44 -334.20
-77.75561 161.74176 -41.37 -342.50
-77.75570 161.74107 -40.82 -331.90
-77.75588 161.74064 -41.70 -341.50
-77.75602 161.73980 -41.11 -327.60
-77.75609 161.73911 -39.68 -318.00
-77.75621 161.73828 -41.85 -340.30
-77.75630 161.73769 -43.66 -350.90
-77.75641 161.73700 -44.21 -354.60
-77.75653 161.73631 -41.68 -338.00
-77.75666 161.73573 -42.83 -348.60
-77.75678 161.73508 -41.57 -333.90
-77.75685 161.73455 -40.96 -323.80
-77.75701 161.73370 -39.94 -320.00
-77.75711 161.73302 -42.58 -344.40
-77.75721 161.73237 -42.77 -342.10
-77.75737 161.73184 -43.87 -352.50
-77.75747 161.73104 -41.47 -332.80
-77.75757 161.73034 -43.04 -345.50
-77.75770 161.72968 -43.82 -351.30
-77.75781 161.72901 -40.99 -331.50
-77.75793 161.72831 -40.34 -326.30
-77.75801 161.72756 -42.52 -342.10
-77.75815 161.72659 -37.81 -304.00
-77.75826 161.72639 -38.93 -310.30
-77.75839 161.72571 -40.76 -328.00
-77.75845 161.72513 -41.49 -330.60
-77.75853 161.72455 -40.86 -329.00
-77.75865 161.72378 -38.41 -310.20
-77.75884 161.72306 -39.24 -314.00
-77.75900 161.72261 -40.37 -319.20
-77.75914 161.72210 -39.81 -321.00
-77.75925 161.72138 -41.06 -327.10
-77.75937 161.72070 -40.94 -330.70
-77.75949 161.72006 -39.86 -321.20
-77.75961 161.71949 -40.55 -324.50
-77.75972 161.71889 -41.81 -337.30
-77.75974 161.71810 -40.45 -330.50
-77.75994 161.71764 -37.65 -302.40
-77.76002 161.71712 -38.77 -309.10
-77.76017 161.71648 -39.31 -314.80
-77.76028 161.71595 -42.74 -344.20
-77.76039 161.71534 -39.88 -316.60
-77.76049 161.71481 -39.59 -316.00
-77.76064 161.71414 -42.92 -344.00
-77.76071 161.71340 -42.37 -340.10
-77.76084 161.71295 -41.76 -336.30
-77.76100 161.71252 -41.60 -332.80
-77.76111 161.71213 -42.46 -344.60
-77.76122 161.71154 -41.12 -332.70
-77.76134 161.71081 -40.71 -327.80
-77.76149 161.70995 -40.16 -324.10
-77.76160 161.70965 -39.75 -315.90
-77.76176 161.70928 -40.64 -328.20
-77.76189 161.70865 -41.58 -332.00
-77.76192 161.70801 -40.67 -327.50
-77.76209 161.70761 -42.21 -339.90
-77.76214 161.70722 -41.96 -335.40
-77.76216 161.70596 -40.04 -317.80
-77.76237 161.70062 -42.75 -345.40
-77.76268 161.70540 -43.46 -351.50
-77.76272 161.70508 -41.74 -334.30
-77.76291 161.70428 -40.34 -325.40
-77.76299 161.70403 -30.22 -332.00
-77.76306 161.70327 -39.94 -316.80
-77.76316 161.70264 -39.43 -316.10
-77.76329 161.70240 -40.13 -321.80
-77.76342 161.70188 -39.51 -317.30
-77.76360 161.70123 -40.45 -307.00
-77.76373 161.70078 -41.88 -334.20
-77.76384 161.70015 -40.55 -325.00
-77.76396 161.69970 -40.47 -323.30
-77.76399 161.69920 -41.84 -333.30
-77.76419 161.69860 -40.56 -322.60
-77.76427 161.69799 -43.35 -346.80
-77.76442 161.69714 -40.48 -324.20
-77.76457 161.69660 -29.78 -340.10
-77.76458 161.09627 -43.39 -345.80
-77.76473 161.69586 -41.48 -329.40
-77.76492 161.69522 -40.24 -321.30
-77.76508 161.69475 -40.65 -323.00
-77.76523 161.69416 -42.69 -342.20
-77.76526 161.69365 -40.84 -324.10
-77.76545 161.69329 -43.72 -349.20
-77.76567 161.69222 -41.71 -334.40
-77.76572 161.69191 -39.68 -314.30
-77.76587 161.69125 -40.46 -319.00
-77.76597 161.69054 -32.23 -331.10
-77.76604 161.68984 -42.01 -337.00
-77.76615 161.68939 -40.78 -326.50
-77.76625 161.68901 -42.60 -338.80
-77.76639 161.68829 -42.70 -343.40
-77.76656 161.68764 -42.41 -342.30
-77.76664 161.68702 -43.30 -345.10
-77.76670 161.68622 -41.61 -329.80
-77.76681 161.68584 -39.94 -321.50
-77.76701 161.68539 -41.34 -332.00
-77.76716 161.68490 -41.88 -337.20
-77.76725 161.68447 -40.56 -325.40
-77.76736 161.68373 -41.36 -332.50
-77.76748 161.68342 -39.48 -316.40
-77.76764 161.68268 -41.34 -328.80
-77.76777 161.68229 -40.23 -322.00
-77.76791 161.68180 -40.80 -328.50
-77.76801 161.68120 -43.76 -350.60
-77.76815 161.68076 -41.41 -330.60
-77.76830 161.68015 -41.12 -331.20
-77.76845 161.67968 -40.96 -329.30
-77.76854 161.67911 -40.88 -326.00
-77.76862 161.67840 -41.48 -331.50
-77.76881 161.67786 -39.89 -320.20
-77.76892 161.67719 -40.86 -326.40
-77.76901 161.67667 -38.30 -305.90
